Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Celtic,33,26,3,4,97,22,+75,81
2,Rangers,33,20,6,7,68,35,+33,66
3,Hibernian,33,14,11,8,54,41,+13,53
4,Dundee Utd,33,14,8,11,41,40,+1,50
5,Aberdeen,33,14,8,11,45,49,-4,50
6,St Mirren,33,12,5,16,45,54,-9,41
7,Hearts,33,11,7,15,43,44,-1,40
8,Motherwell,33,11,6,16,37,56,-19,39
9,Kilmarnock,33,9,8,16,38,58,-20,35
10,Ross County,33,9,8,16,33,56,-23,35
11,Dundee,33,9,7,17,50,71,-21,34
12,St Johnstone,33,8,5,20,33,58,-25,29
