Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Real Madrid,38,26,8,4,80,31,+49,86
2,Barcelona,38,21,10,7,68,38,+30,73
3,Atletico Madrid,38,21,8,9,65,43,+22,71
4,Sevilla,38,18,16,4,53,30,+23,70
5,Real Betis,38,19,8,11,62,40,+22,65
6,Real Sociedad,38,17,11,10,40,37,+3,62
7,Villarreal,38,16,11,11,63,37,+26,59
8,Athletic Bilbao,38,14,13,11,43,36,+7,55
9,Valencia,38,11,15,12,48,53,-5,48
10,Osasuna,38,12,11,15,37,51,-14,47
11,Celta de Vigo,38,12,10,16,43,43,0,46
12,Rayo Vallecano,38,11,9,18,39,50,-11,42
13,Elche,38,11,9,18,40,52,-12,42
14,Espanyol,38,10,12,16,40,53,-13,42
15,Getafe,38,8,15,15,33,41,-8,39
16,Real Mallorca,38,10,9,19,36,63,-27,39
17,Cadiz,38,8,15,15,35,51,-16,39
18,Granada,38,8,14,16,44,61,-17,38
19,Levante,38,8,11,19,51,76,-25,35
20,Alaves,38,8,7,23,31,65,-34,31
