Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Rangers,33,28,5,0,78,10,+68,89
2,Celtic,33,20,9,4,66,24,+42,69
3,Hibernian,33,16,8,9,44,31,+13,56
4,Aberdeen,33,13,10,10,32,31,+1,49
5,Livingston,33,12,8,13,40,41,-1,44
6,St Johnstone,33,10,10,13,34,40,-6,40
7,St Mirren,33,10,10,13,30,38,-8,40
8,Dundee Utd,33,9,12,12,29,43,-14,39
9,Motherwell,33,9,8,16,32,51,-19,35
10,Ross County,33,8,5,20,26,59,-33,29
11,Kilmarnock,33,8,4,21,33,47,-14,28
12,Hamilton,33,6,9,18,31,60,-29,27
