Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Celtic,33,30,2,1,103,25,+78,92
2,Rangers,33,25,4,4,81,34,+47,79
3,Aberdeen,33,17,2,14,52,52,0,53
4,Hearts,33,14,6,13,56,49,+7,48
5,Hibernian,33,13,5,15,49,52,-3,44
6,St Mirren,33,12,8,13,38,49,-11,44
7,Livingston,33,12,6,15,33,52,-19,42
8,Motherwell,33,10,7,16,44,48,-4,37
9,St Johnstone,33,9,6,18,34,54,-20,33
10,Dundee Utd,33,8,7,18,36,58,-22,31
11,Kilmarnock,33,8,7,18,29,58,-29,31
12,Ross County,33,7,6,20,28,52,-24,27
