Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Sassuolo,38,25,7,6,78,38,+40,82
2,Pisa,38,23,7,8,64,36,+28,76
3,Spezia,38,17,15,6,59,33,+26,66
4,Cremonese,38,16,13,9,62,44,+18,61
5,Juve Stabia,38,14,13,11,42,41,+1,55
6,Catanzaro,38,11,20,7,51,45,+6,53
7,Cesena,38,14,11,13,46,47,-1,53
8,Palermo,38,14,10,14,52,43,+9,52
9,Bari,38,10,18,10,41,40,+1,48
10,Sudtirol,38,12,10,16,50,57,-7,46
11,Modena,38,10,15,13,48,50,-2,45
12,Carrarese,38,11,12,15,39,49,-10,45
13,Reggiana,38,11,11,16,42,52,-10,44
14,Mantova,38,10,14,14,47,56,-9,44
15,Brescia,38,9,16,13,42,48,-6,43
16,Frosinone,38,9,16,13,37,50,-13,43
17,Salernitana,38,11,9,18,37,47,-10,42
18,Sampdoria,38,8,17,13,38,49,-11,41
19,Cittadella,38,10,9,19,30,56,-26,39
20,Cosenza,38,7,13,18,32,56,-24,30
