Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Celtic,33,24,6,3,80,26,+54,78
2,Rangers,33,24,3,6,72,23,+49,75
3,Hearts,33,19,5,9,46,34,+12,62
4,Kilmarnock,33,13,12,8,43,34,+9,51
5,St Mirren,33,12,7,14,38,43,-5,43
6,Dundee,33,10,11,12,44,54,-10,41
7,Hibernian,33,9,12,12,44,51,-7,39
8,Motherwell,33,8,13,12,46,51,-5,37
9,Aberdeen,33,8,11,14,35,49,-14,35
10,St Johnstone,33,7,10,16,24,46,-22,31
11,Ross County,33,7,9,17,32,56,-24,30
12,Livingston,33,3,9,21,22,59,-37,18
